Month,Sales
2005-1-31,2815
2005-2-28,2672
2005-3-31,2755
2005-4-30,2721
2005-5-31,2946
2005-6-30,3036
2005-7-31,2282
2005-8-31,2212
2005-9-30,2922
2005-10-31,4301
2005-11-30,5764
2005-12-31,7312
2006-1-31,2541
2006-2-28,2475
2006-3-31,3031
2006-4-30,3266
2006-5-31,3776
2006-6-30,3230
2006-7-31,3028
2006-8-31,1759
2006-9-30,3595
2006-10-31,4474
2006-11-30,6838
2006-12-31,8357
2007-1-31,3113
2007-2-28,3006
2007-3-31,4047
2007-4-30,3523
2007-5-31,3937
2007-6-30,3986
2007-7-31,3260
2007-8-31,1573
2007-9-30,3528
2007-10-31,5211
2007-11-30,7614
2007-12-31,9254
2008-1-31,5375
2008-2-29,3088
2008-3-31,3718
2008-4-30,4514
2008-5-31,4520
2008-6-30,4539
2008-7-31,3663
2008-8-31,1643
2008-9-30,4739
2008-10-31,5428
2008-11-30,8314
2008-12-31,10651
2009-1-31,3633
2009-2-28,4292
2009-3-31,4154
2009-4-30,4121
2009-5-31,4647
2009-6-30,4753
2009-7-31,3965
2009-8-31,1723
2009-9-30,5048
2009-10-31,6922
2009-11-30,9858
2009-12-31,11331
2010-1-31,4016
2010-2-28,3957
2010-3-31,4510
2010-4-30,4276
2010-5-31,4968
2010-6-30,4677
2010-7-31,3523
2010-8-31,1821
2010-9-30,5222
2010-10-31,6872
2010-11-30,10803
2010-12-31,13916
2011-1-31,2639
2011-2-28,2899
2011-3-31,3370
2011-4-30,3740
2011-5-31,2927
2011-6-30,3986
2011-7-31,4217
2011-8-31,1738
2011-9-30,5221
2011-10-31,6424
2011-11-30,9842
2011-12-31,13076
2012-1-31,3934
2012-2-29,3162
2012-3-31,4286
2012-4-30,4676
2012-5-31,5010
2012-6-30,4874
2012-7-31,4633
2012-8-31,1659
2012-9-30,5951